TABLE NO.  1
 KA          V2          DV          PRED        RES         WRES
  2.9619E-01  5.9137E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1896E-01  4.4924E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6712E-01  3.6144E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3431E-01  3.7894E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3897E-01  4.4752E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4318E-01  4.0488E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4059E-01  3.7339E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0997E-01  6.3546E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6760E-01  4.9800E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1950E-01  3.6254E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9511E-01  4.0894E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.5471E-01  4.7017E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0236E-01  4.5086E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2389E-01  4.2125E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.8102E-01  5.0757E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2501E-01  3.5051E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6914E-01  3.8720E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2570E-01  4.1045E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0871E-01  4.8887E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8158E-01  3.9295E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
